,accident_year,location_easting_osgr,location_northing_osgr,longitude,latitude,police_force,accident_severity,number_of_vehicles,number_of_casualties,day_of_week,local_authority_district,first_road_class,first_road_number,road_type,speed_limit,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,trunk_road_flag,enhanced_severity_collision
accident_year,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
location_easting_osgr,,1.0,-0.2764554177483523,0.9890373806347819,-0.2821274192086082,-0.18150943907237627,0.06659840736791255,0.026220414508415182,-0.040613280510073145,0.0017798899723355387,,-0.03484085664006248,-0.0515361978014295,0.007858157094791476,-0.13045699666288066,0.06934431236965928,0.06146617572067769,0.0500644554084909,0.05650124106776684,0.12359775435414258,0.1242490931736747,0.00708812888560944,0.008459876085304007,-0.025068949509924873,0.06736194666250418,0.06399166541011099,-0.09712533729691318,0.0995698305727428,0.27133656856205707,-0.11347162058159659
location_northing_osgr,,-0.2764554177483523,1.0,-0.2691972701514676,0.9936330862196794,-0.15938939580365333,-0.0740957505847276,-0.02129095079170497,0.03605343411508842,-0.0015467002339790157,,0.04427125492784033,0.021030898679003637,-0.003649618505528183,0.081748590524507,-0.0380201722313883,-0.051559388771359745,-0.041868063787113344,-0.03403694832523431,-0.09041797139422689,-0.08782556323930708,-0.001712180957711461,0.0004636679615760152,0.011363985657828332,-0.06420727221221195,-0.06484137845668086,0.02679963587263158,-0.05192977005772546,-0.16219233346500092,0.23724245240973163
longitude,,0.9890373806347819,-0.2691972701514676,1.0,-0.27486927395746447,-0.18391711996628812,0.06675099007675867,0.02616816341484568,-0.04016740334062068,0.0017597360588012332,,-0.03388481359871695,-0.051971309063016155,0.008024061505714157,-0.12859651800602137,0.06812757560284502,0.06064436551405672,0.04914145355906153,0.05566560092791352,0.12242390759243345,0.1226957755281878,0.006859238022378911,0.00828796622505936,-0.02534955642701588,0.0665788720447789,0.06313928879197037,-0.09511823471041307,0.09922821736131983,0.2728696299331769,-0.1127829100943389
latitude,,-0.2821274192086082,0.9936330862196794,-0.27486927395746447,1.0,-0.15934266536788644,-0.07395387492417184,-0.021167628567511795,0.036073333670398715,-0.0015307490688179406,,0.044188005539850965,0.021578658664034307,-0.003942227655765607,0.08188402088781362,-0.03804277708603948,-0.05125863264815833,-0.0415178544882211,-0.03384462144275546,-0.09080846139037364,-0.08794976919177165,-0.0017069064776012778,0.0004639780045305309,0.011449950853948815,-0.06436967799989286,-0.06501739086072811,0.026917509514643955,-0.051995321009339346,-0.1627517297028247,0.235077248477671
police_force,,-0.18150943907237627,-0.15938939580365333,-0.18391711996628812,-0.15934266536788644,1.0,-0.06583058184379434,-0.007411986715647816,0.07209087888005529,-0.004435243080923388,,0.04457623253216713,0.004935317032732983,-0.01813808042497592,0.3002975010516028,-0.18269926038080234,-0.13753976706793164,-0.12517777380635814,-0.13990090075519365,-0.195522020224132,-0.2214714802248398,-0.009652536215172265,-0.04409263356971524,0.00421923838748195,-0.11952681770748279,-0.10650747152353131,0.2855847850358521,-0.15337052020876496,-0.34566669767649283,0.2602210616746836
accident_severity,,0.06659840736791255,-0.0740957505847276,0.06675099007675867,-0.07395387492417184,-0.06583058184379434,1.0,0.09507279251434256,-0.07074898188901388,-0.0031841038656237777,,0.0022278685002530027,-0.021777526972569135,-0.010954025034904965,-0.08667554747443029,0.05933544574228696,0.06295671956585433,0.05544915579129819,0.06870534360582238,0.08041230522547886,0.06765948795429733,-0.04259487979393073,0.02695643106452009,-0.0009826725235499057,0.054963844332065755,0.043047580054170385,-0.08804213594390102,0.20322979686667905,0.06664361941958914,-0.2980557712312692
number_of_vehicles,,0.026220414508415182,-0.02129095079170497,0.02616816341484568,-0.021167628567511795,-0.007411986715647816,0.09507279251434256,1.0,0.185449225897405,-0.002356511499203428,,-0.11321569925340158,0.053957881752305925,-0.0545879096116875,0.06758079600045554,0.06645342597350298,0.08106917685547485,0.0714867199007742,0.07964049621500213,0.001841166243039931,-0.04041893287393438,-0.0862808273088778,-0.0387869414136901,-0.03905950840823041,0.0055482164513552265,-0.008737804882768216,0.03327595526514269,0.02243396520945388,-0.025990795593260133,-0.019798583196493236
number_of_casualties,,-0.040613280510073145,0.03605343411508842,-0.04016740334062068,0.036073333670398715,0.07209087888005529,-0.07074898188901388,0.185449225897405,1.0,0.004196115368684893,,-0.07697689991390584,0.04767346683079125,-0.032738355527676746,0.18206675034082295,-0.04167687175371177,-0.05367271793963037,-0.04787800742199073,-0.042335409162512716,-0.06496993542532097,-0.07899158942320901,0.02510101312445855,-0.013119011757432545,0.021221340419716926,-0.03930719920940815,-0.03920150080456518,0.16165904943609194,-0.15123520714076763,-0.08499999782081039,0.08025092739033905
day_of_week,,0.0017798899723355387,-0.0015467002339790157,0.0017597360588012332,-0.0015307490688179406,-0.004435243080923388,-0.0031841038656237777,-0.002356511499203428,0.004196115368684893,1.0,,-0.00012480303508739278,0.0016595353190523494,0.004510824542152243,-0.005957404589960927,0.00045992304936025725,0.0007767635861987645,-0.0011249419015437099,-0.0012125996207070883,0.0028613734810481652,0.004708599504601213,0.011232852366569216,0.005697303670552919,0.006444109994466534,0.0038851878707257172,0.000970574193072063,-0.005028510996176515,0.00542892045543972,0.006061410284047864,0.001465278859647009
