,accident_year,location_easting_osgr,location_northing_osgr,longitude,latitude,police_force,accident_severity,number_of_vehicles,number_of_casualties,day_of_week,local_authority_district,first_road_class,first_road_number,road_type,speed_limit,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,trunk_road_flag,enhanced_severity_collision
accident_year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
location_easting_osgr,,1.0,-0.4110700219516961,0.9994586731308156,-0.4135865554114792,-0.3451586285891073,0.08496527047598154,0.029857488819887576,-0.04563538212478878,0.002052483951285844,,-0.02566152741332629,-0.16707559333960162,-0.0009532158931220395,-0.14231285034233818,0.12828486186909147,0.09838156924674678,0.07645815952084313,-0.07401060133084408,0.15774875765442353,0.14726271734242988,0.0016655283183103725,0.05017767641572723,0.05047061500892025,0.09920219183226357,0.09496120094330875,-0.1321772341979386,0.15658280920992043,0.4795529243729088,-0.1437280114059284
location_northing_osgr,,-0.4110700219516961,1.0,-0.41795966862797673,0.9999699753397822,0.11112705668483767,-0.11268303001460024,-0.027974520626416935,0.04406051983876158,-0.004168664886158445,,0.0403995995542256,0.07595501404565265,0.0076101203400939016,0.10447649555381795,-0.10015383326878191,-0.0925946688874345,-0.07197731222967267,0.04791391833781883,-0.09796158140721227,-0.10105284433685469,-0.0038657717352535248,-0.026165640104344103,-0.042431367418131034,-0.0526984881519917,-0.04618544392213963,0.052624629252008386,-0.11990794065929303,-0.4061836161151196,0.32502043317097856
longitude,,0.9994586731308156,-0.41795966862797673,1.0,-0.4203969708492436,-0.3552626276218923,0.08632439426267675,0.030216771732988926,-0.04549576964867092,0.00204471558330801,,-0.023517856318304373,-0.16555071005028954,-0.0009984839721757699,-0.14095443830473342,0.1264314556270901,0.0978057822835654,0.07629998822663434,-0.07358423714648094,0.15587978365229085,0.1453815766047587,0.0015175914683811568,0.04941962308197437,0.04924643504258739,0.09812982445034278,0.09383252441617425,-0.12984363344404448,0.15636673208851587,0.4938067595168304,-0.14481973917008045
latitude,,-0.4135865554114792,0.9999699753397822,-0.4203969708492436,1.0,0.10951739689368795,-0.11252393203006265,-0.02789091529041668,0.04400412146077479,-0.004156631712985643,,0.04045610571210612,0.07700075024963972,0.007423354248751718,0.10423634943481817,-0.10041408198959277,-0.09237411456016693,-0.07168039019688068,0.04845286929993184,-0.09841057416074944,-0.10114503615842083,-0.003842005955036031,-0.02634260321641553,-0.042611844655151714,-0.05302647792761231,-0.046523610782320916,0.05210000145128934,-0.11993143017607748,-0.40457292223986313,0.3236305275490972
police_force,,-0.3451586285891073,0.11112705668483767,-0.3552626276218923,0.10951739689368795,1.0,-0.09019090308085935,-0.009352917882266616,0.06408656573994781,-0.005916110090753583,,0.019669762483413667,0.00929005557364385,-0.016050565279566803,0.2977539292025207,-0.1925770103111547,-0.1748180070269637,-0.15142937909027762,-0.012413811088151011,-0.21736246485114538,-0.22125591219613122,0.009104059932152742,-0.07731001551918928,-0.0864762015733346,-0.14283697662297584,-0.13141181735820645,0.29450861559593233,-0.182968548057396,-0.628011573062803,0.27680096534210497
accident_severity,,0.08496527047598154,-0.11268303001460024,0.08632439426267675,-0.11252393203006265,-0.09019090308085935,1.0,0.06720941912455931,-0.09799650971367488,-0.002857942596056952,,0.010583469159235014,-0.025915448105226658,-0.01620008250855867,-0.10276698686096805,0.07947468713098384,0.0824524638831509,0.06824490234015591,0.013284937307116332,0.09561661962128627,0.07708314471739898,-0.051834494893052536,0.047390404310481325,0.03421580208573342,0.0699750237179425,0.06356835212920653,-0.09740129139593201,0.20793075064695346,0.0890034637844302,-0.33489355785463293
number_of_vehicles,,0.029857488819887576,-0.027974520626416935,0.030216771732988926,-0.02789091529041668,-0.009352917882266616,0.06720941912455931,1.0,0.20393438810916517,-0.0025472773303924583,,-0.12484829042662843,-0.003223853781406649,-0.060878684914785756,0.08929862776777094,0.011286784363305963,0.041047444448933906,0.035656488865877294,0.011047623236884243,-0.00392200879883576,-0.039989805335789316,-0.07572445032071524,-0.03438011988012919,-0.017325833226263295,-0.006374780155907442,-0.010160766532600061,0.04656995292532113,-0.010010841525807274,-0.0002208935102742473,-0.011967136585609914
number_of_casualties,,-0.04563538212478878,0.04406051983876158,-0.04549576964867092,0.04400412146077479,0.06408656573994781,-0.09799650971367488,0.20393438810916517,1.0,0.002670152689016667,,-0.08562358031514822,0.015205232006184583,-0.025668970556104183,0.17774402990397867,-0.05187319172084415,-0.061082202156936674,-0.05240866263793512,0.00942587908433283,-0.06098636833687849,-0.06986352290197721,0.03338035272139857,-0.03730398022465626,-0.017925990501916643,-0.04682025263959941,-0.04448522191189543,0.14730887873342205,-0.13162725631060276,-0.057094970067432325,0.07334559647910019
day_of_week,,0.002052483951285844,-0.004168664886158445,0.00204471558330801,-0.004156631712985643,-0.005916110090753583,-0.002857942596056952,-0.0025472773303924583,0.002670152689016667,1.0,,0.0004308108441794243,0.00367124331710985,0.0060188995912833845,-0.007522649581180439,0.005577099920992964,0.0030229389368450254,-0.0004872360547091313,0.00032276774218663746,0.006174822297766284,0.006581667645686107,0.009587861190408853,0.0082558119570549,0.008825433809487353,0.008704138866964731,0.005311101578874141,-0.006781687028396585,0.007951662772479606,0.006676330147771621,0.00130784498635777
