,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
accident_year,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,1.0
location_easting_osgr,0.25118101784736585,-0.3252659196292582,-0.15391312484367853,0.1091147193776292,-0.20680281968449646,-0.2273943046125798,-0.05214823463760568,0.04596921933175382,-0.2137515907469886,0.019969271533067844,-0.008615950602431787,0.05178554793970266,0.10371403332823553,0.22198053338527543,-0.270199612587147,-0.02510780507214602,-0.018242171020882915,0.003432577694570376,-0.11881159295003521,-0.014784884863900371,0.0539068287052588,-0.004273276769815057,0.0049296095716295715,-0.030421868067807202,0.011434919789404306,-0.004246937389571336,-0.7031360826762868,-0.02428065709595388,-0.0,0.0
location_northing_osgr,-0.21278083495390301,0.3409495157137661,0.18045255357755405,0.15382442096113472,-0.3593578042403874,-0.10067747557678486,-0.06010549621301562,0.25481811837997337,-0.13815690795162422,0.013692165626932044,-0.08164922496490022,-0.009755025355366055,-0.05774250311467176,0.04263856877395065,-0.1006287529314994,0.00034078940739098144,0.002577126418194601,-0.039299062100361444,-0.06317760570189837,0.0004022517489539655,0.05222379265577851,-0.04087925659757075,-0.01856018998816141,0.1421432710427463,-0.0515371865127889,0.0018056276891880564,-0.02059707653882729,0.7067848534996057,1.1684911933100546e-15,0.0
longitude,0.2523245866341466,-0.32946838784201454,-0.15447649500161645,0.1094717378065929,-0.20780888005086984,-0.22620340983285717,-0.04928457854553392,0.04597326169747221,-0.2074876063227999,0.018802488272733398,-0.012358502740137002,0.055154086739153035,0.09667893963102234,0.21431181162205376,-0.25987082167961734,-0.027044482380744535,-0.022167947714091214,0.0033298728756315905,-0.11526897681926501,-0.015490465505566984,0.05424605072479482,-0.006214931864692492,0.006020560073923757,-0.02901953043398545,0.011370963205900649,-0.004279750751159812,0.7102157492708356,0.021395907156043257,-1.7685155776330655e-18,0.0
latitude,-0.2128804270483076,0.34109568464398127,0.18123664081924498,0.15326578149336265,-0.3594493328551439,-0.09920532579184523,-0.059167125442336904,0.2551333569476864,-0.13634742929722787,0.01343743074157202,-0.08217426540983146,-0.009911614426577084,-0.05925282895747129,0.04049526481807458,-0.09862524765170375,0.00035490365778649433,0.0026583846291496206,-0.039645615473614206,-0.06313573371865847,0.0005315281369627089,0.05226512998072501,-0.0420913466048972,-0.017725738183947057,0.14397994916157736,-0.05209610137575222,0.001982019295617416,0.025033999383699428,-0.7066836228534542,-1.1167387060287593e-15,0.0
police_force,-0.23879706954077454,0.12517162199374696,-0.07958701899741996,-0.08577221294575549,0.40446680934128004,-0.038426737345269774,-0.1263122071847382,-0.21990078443292263,-0.14024723561799082,0.03163148029770818,0.17417026540794042,0.04993521726694751,0.25371203399133835,0.35185290177249307,-0.19546879111148044,-0.06329349254651558,-0.1155675322620748,0.042647400975097595,-0.017349350078090856,-0.024106128679762483,0.07169315608881813,-0.14141291360480765,-0.0033435479688650707,0.5602248905317246,-0.21272731945991805,0.0033439172921770877,0.005588731067086254,-0.00042289799360782686,1.6250382209493603e-16,0.0
accident_severity,0.1120005084206122,-0.03799945990067342,0.028914172952129398,-0.11614123963689756,0.12168376689993009,0.38782764099192735,-0.1924884463761082,0.503221325555765,-0.07459365992045752,0.024855875303321263,-0.03809632586136874,0.12392970040627498,-0.18327886495367246,0.2744551582481523,-0.09393084028060256,-0.1575554433683682,-0.38132709296524947,0.22300960350145524,0.36842003977328425,-0.03811703628674062,-0.08945610889667259,0.06363213407298195,-0.016519233669293573,-0.07365605796021685,0.022709772871476103,0.005924778810715066,-0.0007922610703621539,-0.0002896168674219305,2.1758308597331204e-17,0.0
number_of_vehicles,-0.006083001685544331,-0.0364888776763608,-0.05668165300607018,-0.27360936355937493,-0.12249141079714983,-0.1463788713109253,-0.3687150991193589,0.270512628257315,0.4087720143379289,-0.006301718190480315,0.17339791458524362,0.01422125332316212,0.21139993888063233,0.15221208676672915,0.2407375343709774,-0.44036643111609663,0.36234126161048275,-0.059886391249878664,-0.052471433150822935,-0.0625302010438518,0.12469891777716292,-0.018095028475316056,-0.02078808505154003,0.0024333538439703325,0.00161176957756477,0.0003101148795357492,-9.328482868070864e-05,0.00011764783460515848,-7.627928801149865e-17,0.0
number_of_casualties,-0.07825438417755445,-0.0017612403775899828,-0.11488425906840892,-0.17436653680018255,-0.10839620132801624,-0.3036592868497004,-0.14103053597180598,0.08357504005957708,0.5129406044608511,-0.021935379817486396,0.25240756240813306,-0.16373259562050663,-0.11880677423014466,0.034045103538749774,-0.1862655687843937,0.517460507116019,-0.3734721673122022,0.06775756606357769,-0.014836242144386322,0.033453891968521755,-0.04276514366082417,0.0017995141639799252,-0.017382415526572312,-0.0013771224045297202,-0.0001623688806085976,0.006960944449861842,1.153328650251076e-06,-2.1600350959832346e-05,1.8398263924741166e-16,0.0
day_of_week,0.005584461379324664,0.003490014916727025,-0.0022446091653338025,0.007373740724243569,-0.0028028503976214344,-0.004730825780117033,0.05093309115947067,-0.014983719653498763,0.09789231651620137,0.9916185659608231,-0.04294016486453748,0.029365599615457375,-0.0060230519345868296,-0.02703211880260698,-0.01998878845293202,-0.015483223728245973,-0.000655728577948751,-0.0018969355638992953,-0.0010927047317762202,-0.0032590310477146347,0.0032846204922819745,0.00171618647122502,0.0014454398618993804,0.0009222602085098656,0.0029228044277842375,-0.0021107999565108987,4.996598611168264e-05,7.457370136727352e-07,-2.0234748261125462e-17,0.0
local_authority_district,2.117582368135751e-22,0.0,-3.469446951953614e-18,5.551115123125783e-17,2.7755575615628914e-17,-2.7755575615628914e-17,-9.71445146547012e-17,-4.163336342344337e-17,1.1102230246251565e-16,-1.3877787807814457e-17,-1.3010426069826053e-17,3.8163916471489756e-17,1.3010426069826053e-16,-8.326672684688674e-17,-2.7755575615628914e-17,1.6653345369377348e-16,8.326672684688674e-17,4.336808689942018e-17,1.1102230246251565e-16,4.85722573273506e-17,1.1102230246251565e-16,5.48172618408671e-16,4.85722573273506e-17,-1.1102230246251565e-16,1.3877787807814457e-16,8.465450562766819e-16,5.637851296924623e-17,-1.5950782361606741e-15,1.0,0.0
first_road_class,0.044687195570458686,0.012431057009279595,0.2533501898399728,0.43475043693511206,0.307352265362654,-0.14834267615054325,-0.10434465248048838,0.023768906017200445,0.10243581198914244,-0.008295187410170601,0.1887933270188586,0.1741957251772729,-0.1929226613040611,-0.028682560309809375,0.0993147294410138,-0.1020100770354914,-0.19655719901725396,0.16105060891773404,-0.2591687576745563,-0.1934587646282429,0.500083086607934,-0.04830211253476038,0.1678402941825103,-0.1702822457992937,0.0554350871971401,-0.006639313525259223,-0.0019341966275348487,-6.641315003819127e-05,3.993627141438668e-17,0.0
